num	columna1	columna2	columna3	columna4	columna5	columna6
1	0.007721991	0.176184786	0.505004713	0.985550346	0.28965305	0.392822977
2	0.837567733	0.542793733	0.01672907	0.045470305	0.644631971	0.417438562
3	0.885653323	0.628563065	0.336424827	0.059667721	0.947996573	0.571661102
4	0.662468563	0.50047138	0.817783188	0.683314097	0.063919593	0.545591364
5	0.202929104	0.653585128	0.360144024	0.669633144	0.053591746	0.387976629
6	0.264564805	0.098829749	0.096347517	0.444719521	0.208929356	0.222678189
7	0.459728325	0.384491895	0.172554979	0.379089514	0.164031872	0.311979317
8	0.486078503	0.236826238	0.507736283	0.594663676	0.714441592	0.507949258
9	0.234422587	0.580491208	0.987512121	0.74980896	0.925942279	0.695635431
10	0.412026689	0.002902127	0.365982492	0.058149498	0.750563793	0.31792492
11	0.799619645	0.53794857	0.091465984	0.757608079	0.509664489	0.539261353
12	0.75927847	0.383873127	0.560491312	0.818343032	0.722269996	0.648851188
13	0.871671198	0.096091696	0.704499666	0.573403506	0.357674433	0.5206681
14	0.99574323	0.726673659	0.615119477	0.430029426	0.931862209	0.7398856
15	0.30105956	0.885291829	0.532342731	0.206155943	0.127546622	0.410479337
16	0.69629894	0.217591521	0.109505589	0.63292927	0.02204544	0.335674152
17	0.111546217	0.226283297	0.043593177	0.593345417	0.517479293	0.29844948
18	0.423062702	0.932845399	0.754392832	0.888014197	0.982387704	0.796140567
19	0.571374502	0.669197652	0.063592326	0.171123056	0.732616762	0.44158086
